set_id,question_number,question_text,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3,category,quiz_type,difficulty,explanation,improvement_note,notation_data
"gen-indian-carnatic-ragas-016","16","Which melakarta raga is the parent of the janya raga ""Begada""?","Dheerasankarabharanam","Dhavalambari","Dharmavathi","Hemavathi","Carnatic Ragas","indian_classical","intermediate","Begada is a janya (derived) raga of Dheerasankarabharanam (Melakarta #29).","",""
"gen-indian-carnatic-ragas-017","17","Which melakarta raga is the parent of the janya raga ""Sahana""?","Harikambhoji","Shubhapantuvarali","Kokilapriya","Ganamurthi","Carnatic Ragas","indian_classical","intermediate","Sahana is a janya (derived) raga of Harikambhoji (Melakarta #28).","",""
"gen-indian-carnatic-ragas-018","18","Which melakarta raga is the parent of the janya raga ""Kedaram""?","Harikambhoji","Mayamalavagowla","Jalarnavam","Ragavardhini","Carnatic Ragas","indian_classical","intermediate","Kedaram is a janya (derived) raga of Harikambhoji (Melakarta #28).","",""
"gen-indian-carnatic-ragas-019","19","What is the melakarta number of raga Mayamalavagowla?","15","35","19","28","Carnatic Ragas","indian_classical","intermediate","Mayamalavagowla is Melakarta #15.","",""
"gen-indian-carnatic-ragas-020","20","What is the melakarta number of raga Dheerasankarabharanam?","29","35","41","38","Carnatic Ragas","indian_classical","intermediate","Dheerasankarabharanam is Melakarta #29.","",""
"gen-indian-carnatic-ragas-021","21","What is the melakarta number of raga Kharaharapriya?","22","14","29","71","Carnatic Ragas","indian_classical","intermediate","Kharaharapriya is Melakarta #22.","",""
"gen-indian-carnatic-ragas-022","22","What is the melakarta number of raga Harikambhoji?","28","54","50","46","Carnatic Ragas","indian_classical","intermediate","Harikambhoji is Melakarta #28.","",""
"gen-indian-carnatic-ragas-023","23","What is the melakarta number of raga Mechakalyani?","65","14","54","12","Carnatic Ragas","indian_classical","intermediate","Mechakalyani is Melakarta #65.","",""
"gen-indian-carnatic-ragas-024","24","What is the melakarta number of raga Hanumathodi?","8","45","24","5","Carnatic Ragas","indian_classical","intermediate","Hanumathodi is Melakarta #8.","",""
"gen-indian-carnatic-ragas-025","25","Which melakarta raga has the swara pattern: Sa Ri1 Ga3 Ma1 Pa Da1 Ni3?","Mayamalavagowla","Kamavardhini","Dhenuka","Hanumathodi","Carnatic Ragas","indian_classical","advanced","The swara pattern Sa Ri1 Ga3 Ma1 Pa Da1 Ni3 belongs to Mayamalavagowla (Melakarta #15).","",""
"gen-indian-carnatic-ragas-026","26","Which melakarta raga has the swara pattern: Sa Ri2 Ga2 Ma1 Pa Da2 Ni2?","Kharaharapriya","Dharmavathi","Salagam","Natabhairavi","Carnatic Ragas","indian_classical","advanced","The swara pattern Sa Ri2 Ga2 Ma1 Pa Da2 Ni2 belongs to Kharaharapriya (Melakarta #22).","",""
"gen-indian-carnatic-ragas-027","27","Which melakarta raga has the swara pattern: Sa Ri2 Ga3 Ma1 Pa Da2 Ni2?","Harikambhoji","Mayamalavagowla","Tanarupi","Chalanatta","Carnatic Ragas","indian_classical","advanced","The swara pattern Sa Ri2 Ga3 Ma1 Pa Da2 Ni2 belongs to Harikambhoji (Melakarta #28).","",""
"gen-indian-carnatic-ragas-028","28","Which melakarta raga has the swara pattern: Sa Ri2 Ga3 Ma1 Pa Da2 Ni3?","Dheerasankarabharanam","Vachaspathi","Kharaharapriya","Kanakangi","Carnatic Ragas","indian_classical","advanced","The swara pattern Sa Ri2 Ga3 Ma1 Pa Da2 Ni3 belongs to Dheerasankarabharanam (Melakarta #29).","",""
"gen-indian-carnatic-ragas-029","29","Which melakarta raga has the swara pattern: Sa Ri2 Ga3 Ma2 Pa Da2 Ni3?","Mechakalyani","Kanakangi","Jyotiswarupini","Gourimanohari","Carnatic Ragas","indian_classical","advanced","The swara pattern Sa Ri2 Ga3 Ma2 Pa Da2 Ni3 belongs to Mechakalyani (Melakarta #65).","",""
"gen-indian-carnatic-ragas-030","30","How many melakarta ragas are there in the Carnatic system?","72","36","10","22","Carnatic Ragas","indian_classical","beginner","The Carnatic system has 72 melakarta (parent) ragas, systematized by Venkatamakhi.","",""
"gen-indian-carnatic-ragas-031","31","What is a 'janya raga' in the Carnatic system?","A raga derived from a melakarta (parent) raga","A raga with exactly 7 notes","A raga sung only in the morning","A raga used only in film music","Carnatic Ragas","indian_classical","beginner","Janya ragas are derived from the 72 melakarta ragas by omitting notes, adding zigzag patterns, or using different ascending and descending scales.","",""
"gen-indian-carnatic-ragas-032","32","Which melakarta raga is commonly the first raga taught to Carnatic music students?","Mayamalavagowla (Melakarta #15)","Shankarabharanam (Melakarta #29)","Kharaharapriya (Melakarta #22)","Harikambhoji (Melakarta #28)","Carnatic Ragas","indian_classical","beginner","Mayamalavagowla (#15) is traditionally the first raga taught because its swara intervals are distinct and easy to learn.","",""
"gen-indian-carnatic-ragas-033","33","Which famous pentatonic janya raga uses the swaras Sa Ri2 Ga3 Pa Da2?","Mohanam","Hamsadhwani","Hindolam","Abhogi","Carnatic Ragas","indian_classical","intermediate","Mohanam uses Sa Ri2 Ga3 Pa Da2 — a bright, happy pentatonic raga derived from Harikambhoji (#28).","",""
"gen-indian-carnatic-ragas-034","34","Which pentatonic janya raga uses the swaras Sa Ri2 Ga3 Pa Ni3?","Hamsadhwani","Mohanam","Abhogi","Hindolam","Carnatic Ragas","indian_classical","intermediate","Hamsadhwani (Sa Ri2 Ga3 Pa Ni3) is a popular auspicious raga derived from Mechakalyani (#65).","",""
"gen-indian-carnatic-tala-001","1","In Carnatic tala, what is a ""Laghu""?","Variable unit — beat count depends on jati (3, 4, 5, 7, or 9 beats), shown by a clap followed by finger counts","Fixed 1-beat unit — shown by a single clap","Fixed 2-beat unit — shown by a clap followed by a wave","A fixed 3-beat unit shown by three claps","Carnatic Tala","indian_classical","beginner","Laghu: Variable unit — beat count depends on jati (3, 4, 5, 7, or 9 beats), shown by a clap followed by finger counts.","",""
"gen-indian-carnatic-tala-002","2","In Carnatic tala, what is a ""Drutam""?","Fixed 2-beat unit — shown by a clap followed by a wave","A fixed 3-beat unit shown by three claps","Fixed 1-beat unit — shown by a single clap","Variable unit — beat count depends on jati (3, 4, 5, 7, or 9 beats), shown by a clap followed by finger counts","Carnatic Tala","indian_classical","beginner","Drutam: Fixed 2-beat unit — shown by a clap followed by a wave.","",""
"gen-indian-carnatic-tala-003","3","In Carnatic tala, what is a ""Anudrutam""?","Fixed 1-beat unit — shown by a single clap","A fixed 3-beat unit shown by three claps","Fixed 2-beat unit — shown by a clap followed by a wave","Variable unit — beat count depends on jati (3, 4, 5, 7, or 9 beats), shown by a clap followed by finger counts","Carnatic Tala","indian_classical","beginner","Anudrutam: Fixed 1-beat unit — shown by a single clap.","",""
"gen-indian-carnatic-tala-004","4","How many beats (aksharas) does Adi Tala have?","8","3","14","6","Carnatic Tala","indian_classical","beginner","Adi Tala (Chatusra Jati Triputa Tala) has 8 beats with structure: 4+2+2 (Laghu + Drutam + Drutam).","",""
"gen-indian-carnatic-tala-005","5","How many beats (aksharas) does Rupaka Tala have?","6","3","4","5","Carnatic Tala","indian_classical","beginner","Rupaka Tala (Chatusra Jati Rupaka Tala) has 6 beats with structure: 2+4 (Drutam + Laghu).","",""
"gen-indian-carnatic-tala-006","6","How many beats (aksharas) does Misra Chapu have?","7","14","8","6","Carnatic Tala","indian_classical","beginner","Misra Chapu (Misra Chapu Tala) has 7 beats with structure: 3+2+2.","",""
"gen-indian-carnatic-tala-007","7","How many beats (aksharas) does Khanda Chapu have?","5","7","3","16","Carnatic Tala","indian_classical","beginner","Khanda Chapu (Khanda Chapu Tala) has 5 beats with structure: 2+1+2.","",""
"gen-indian-carnatic-tala-008","8","How many basic tala types are there in the Suladi Sapta Tala system?","7","5","10","35","Carnatic Tala","indian_classical","beginner","The Suladi Sapta (seven) Talas are: Dhruva, Matya, Rupaka, Jhampa, Triputa, Ata, and Eka.","",""
"gen-indian-carnatic-tala-009","9","How many jatis (beat-count variants) exist in the Carnatic tala system?","5","3","7","10","Carnatic Tala","indian_classical","beginner","The 5 jatis are: Tisra (3), Chatusra (4), Khanda (5), Misra (7), and Sankeerna (9).","",""
"gen-indian-carnatic-tala-010","10","In Carnatic tala, how many beats does the ""Tisra"" jati have per laghu?","3","7","5","9","Carnatic Tala","indian_classical","intermediate","Tisra jati has 3 beats per laghu.","",""
"gen-indian-carnatic-tala-011","11","In Carnatic tala, how many beats does the ""Chatusra"" jati have per laghu?","4","3","9","5","Carnatic Tala","indian_classical","intermediate","Chatusra jati has 4 beats per laghu.","",""
"gen-indian-carnatic-tala-012","12","In Carnatic tala, how many beats does the ""Khanda"" jati have per laghu?","5","3","4","7","Carnatic Tala","indian_classical","intermediate","Khanda jati has 5 beats per laghu.","",""
"gen-indian-carnatic-tala-013","13","In Carnatic tala, how many beats does the ""Misra"" jati have per laghu?","7","9","3","4","Carnatic Tala","indian_classical","intermediate","Misra jati has 7 beats per laghu.","",""
"gen-indian-carnatic-tala-014","14","In Carnatic tala, how many beats does the ""Sankeerna"" jati have per laghu?","9","3","4","7","Carnatic Tala","indian_classical","intermediate","Sankeerna jati has 9 beats per laghu.","",""
"gen-indian-carnatic-tala-015","15","What are the components of Dhruva tala in the Suladi Sapta Tala system?","Laghu + Drutam + Laghu + Laghu","Drutam + Laghu","Laghu + Drutam + Laghu","Laghu + Anudrutam + Drutam","Carnatic Tala","indian_classical","intermediate","Dhruva tala consists of: Laghu + Drutam + Laghu + Laghu (symbol: I O I I).","",""
"gen-indian-carnatic-tala-016","16","What are the components of Matya tala in the Suladi Sapta Tala system?","Laghu + Drutam + Laghu","Laghu + Drutam + Laghu + Laghu","Laghu + Drutam + Drutam","Laghu","Carnatic Tala","indian_classical","intermediate","Matya tala consists of: Laghu + Drutam + Laghu (symbol: I O I).","",""
"gen-indian-carnatic-tala-017","17","What are the components of Rupaka tala in the Suladi Sapta Tala system?","Drutam + Laghu","Laghu + Drutam + Laghu + Laghu","Laghu + Drutam + Laghu","Laghu + Anudrutam + Drutam","Carnatic Tala","indian_classical","intermediate","Rupaka tala consists of: Drutam + Laghu (symbol: O I).","",""
"gen-indian-carnatic-tala-018","18","What are the components of Jhampa tala in the Suladi Sapta Tala system?","Laghu + Anudrutam + Drutam","Laghu","Laghu + Drutam + Drutam","Laghu + Laghu + Drutam + Drutam","Carnatic Tala","indian_classical","intermediate","Jhampa tala consists of: Laghu + Anudrutam + Drutam (symbol: I U O).","",""
"gen-indian-carnatic-tala-019","19","What are the components of Triputa tala in the Suladi Sapta Tala system?","Laghu + Drutam + Drutam","Laghu + Drutam + Laghu","Laghu + Drutam + Laghu + Laghu","Laghu + Anudrutam + Drutam","Carnatic Tala","indian_classical","intermediate","Triputa tala consists of: Laghu + Drutam + Drutam (symbol: I O O).","",""
"gen-indian-carnatic-tala-020","20","What are the components of Ata tala in the Suladi Sapta Tala system?","Laghu + Laghu + Drutam + Drutam","Drutam + Laghu","Laghu","Laghu + Drutam + Laghu","Carnatic Tala","indian_classical","intermediate","Ata tala consists of: Laghu + Laghu + Drutam + Drutam (symbol: I I O O).","",""
"gen-indian-carnatic-tala-021","21","What are the components of Eka tala in the Suladi Sapta Tala system?","Laghu","Drutam + Laghu","Laghu + Drutam + Drutam","Laghu + Laghu + Drutam + Drutam","Carnatic Tala","indian_classical","intermediate","Eka tala consists of: Laghu (symbol: I).","",""
"gen-indian-carnatic-tala-022","22","How many total tala varieties are created by combining the 7 Suladi Talas with the 5 Jatis?","35","12","72","22","Carnatic Tala","indian_classical","intermediate","7 talas x 5 jatis = 35 tala varieties in the Carnatic system.","",""
"gen-indian-carnatic-tala-023","23","In Misra Jati Triputa Tala, how many beats are in one cycle? (Laghu=7, two Drutams=2+2)","11","7","9","14","Carnatic Tala","indian_classical","advanced","Triputa = Laghu + Drutam + Drutam. With Misra jati: 7 + 2 + 2 = 11 beats.","",""
"gen-indian-carnatic-tala-024","24","In Khanda Jati Dhruva Tala, how many beats are in one cycle? (Laghu=5 each, Drutam=2)","17","15","19","22","Carnatic Tala","indian_classical","advanced","Dhruva = Laghu + Drutam + Laghu + Laghu. With Khanda jati: 5 + 2 + 5 + 5 = 17 beats.","",""
"gen-indian-carnatic-tala-025","25","In Sankeerna Jati Ata Tala, how many beats are in one cycle? (Laghu=9 each, two Drutams=2+2)","22","18","26","14","Carnatic Tala","indian_classical","advanced","Ata = Laghu + Laghu + Drutam + Drutam. With Sankeerna jati: 9 + 9 + 2 + 2 = 22 beats.","",""
"gen-indian-carnatic-tala-026","26","What is 'Trikala' in Carnatic rhythmic practice?","Rendering a composition at three speeds: normal, double, and quadruple","A tala with three sections","A type of rhythmic ornament","Playing in three different ragas","Carnatic Tala","indian_classical","advanced","Trikala refers to the practice of singing/playing at three tempo levels within the same tala framework.","",""
"gen-indian-carnatic-tala-027","27","What is 'Eduppu' (also called Graha) in Carnatic music?","The starting point of a composition within the tala cycle, which may or may not be on the first beat","The concluding phrase of a composition","A type of rhythmic pattern played on mridangam","The total number of beats in a tala","Carnatic Tala","indian_classical","advanced","Eduppu is the point in the tala cycle where a composition or improvisation begins. Sama Eduppu starts on beat 1; Anagata and Atita start before or after.","",""
"gen-indian-carnatic-compositions-001","1","What is a ""Kriti"" in Carnatic music?","Most important form with Pallavi, Anupallavi, and Charanam sections","Technical composition used as a warm-up, combines sahitya (lyrics) and swaras","Devotional love song, often about divine love (bhakti or sringara)","Simplest song form, used in early music education, no repeat structure","Carnatic Compositions","indian_classical","beginner","A Kriti is: Most important form with Pallavi, Anupallavi, and Charanam sections.","",""
"gen-indian-carnatic-compositions-002","2","What is a ""Varnam"" in Carnatic music?","Technical composition used as a warm-up, combines sahitya (lyrics) and swaras","Light classical romantic composition, faster than padam","Simplest song form, used in early music education, no repeat structure","Rhythmic composition using syllables like ta, di, gi, na — equivalent of tarana","Carnatic Compositions","indian_classical","beginner","A Varnam is: Technical composition used as a warm-up, combines sahitya (lyrics) and swaras.","",""
"gen-indian-carnatic-compositions-003","3","What is a ""Padam"" in Carnatic music?","Devotional love song, often about divine love (bhakti or sringara)","Technical composition used as a warm-up, combines sahitya (lyrics) and swaras","Most important form with Pallavi, Anupallavi, and Charanam sections","Rhythmic composition using syllables like ta, di, gi, na — equivalent of tarana","Carnatic Compositions","indian_classical","beginner","A Padam is: Devotional love song, often about divine love (bhakti or sringara).","",""
"gen-indian-carnatic-compositions-004","4","What is a ""Javali"" in Carnatic music?","Light classical romantic composition, faster than padam","Most important form with Pallavi, Anupallavi, and Charanam sections","Rhythmic composition using syllables like ta, di, gi, na — equivalent of tarana","Simplest song form, used in early music education, no repeat structure","Carnatic Compositions","indian_classical","beginner","A Javali is: Light classical romantic composition, faster than padam.","",""
"gen-indian-carnatic-compositions-005","5","Which raga is Tyagaraja's Pancharatna Kriti ""Jagadanandakaraka"" composed in?","Nattai","Bhairavi","Varali","Sri","Carnatic Compositions","indian_classical","intermediate","""Jagadanandakaraka"" is one of Tyagaraja's five gem compositions (Pancharatna Kritis), set in raga Nattai.","",""
"gen-indian-carnatic-compositions-006","6","Which raga is Tyagaraja's Pancharatna Kriti ""Dudukugala"" composed in?","Gowla","Kambhoji","Bhairavi","Kalyani","Carnatic Compositions","indian_classical","intermediate","""Dudukugala"" is one of Tyagaraja's five gem compositions (Pancharatna Kritis), set in raga Gowla.","",""
"gen-indian-carnatic-compositions-007","7","Which raga is Tyagaraja's Pancharatna Kriti ""Sadhinchane"" composed in?","Arabhi","Kambhoji","Varali","Sri","Carnatic Compositions","indian_classical","intermediate","""Sadhinchane"" is one of Tyagaraja's five gem compositions (Pancharatna Kritis), set in raga Arabhi.","",""
"gen-indian-carnatic-compositions-008","8","Which raga is Tyagaraja's Pancharatna Kriti ""Kanakana Ruchira"" composed in?","Varali","Kalyani","Kambhoji","Bhairavi","Carnatic Compositions","indian_classical","intermediate","""Kanakana Ruchira"" is one of Tyagaraja's five gem compositions (Pancharatna Kritis), set in raga Varali.","",""
"gen-indian-carnatic-compositions-009","9","Which raga is Tyagaraja's Pancharatna Kriti ""Endaro Mahanubhavulu"" composed in?","Sri","Nattai","Bhairavi","Gowla","Carnatic Compositions","indian_classical","intermediate","""Endaro Mahanubhavulu"" is one of Tyagaraja's five gem compositions (Pancharatna Kritis), set in raga Sri.","",""
"gen-indian-carnatic-compositions-010","10","How many compositions make up Tyagaraja's Pancharatna Kritis?","5","3","7","9","Carnatic Compositions","indian_classical","intermediate","Pancharatna means 'five gems' — the five greatest compositions of Tyagaraja.","",""
"gen-indian-carnatic-compositions-011","11","Which Carnatic music composer is known by the title ""Pitamaha (Father) of Carnatic Music""?","Purandara Dasa","Swathi Thirunal","Papanasam Sivan","Syama Shastri","Carnatic Compositions","indian_classical","intermediate","Purandara Dasa (1484-1564) is known as ""Pitamaha (Father) of Carnatic Music"". Systematized the teaching method, created foundational exercises (sarali varisai, alankaras).","",""
"gen-indian-carnatic-compositions-012","12","Which Carnatic music composer is known by the title ""Tamil Tyagaraja""?","Papanasam Sivan","Tyagaraja","Oottukkadu Venkata Kavi","Muthuswami Dikshitar","Carnatic Compositions","indian_classical","intermediate","Papanasam Sivan (1890-1973) is known as ""Tamil Tyagaraja"". Composed extensively in Tamil, film music contributions.","",""
"gen-indian-carnatic-compositions-013","13","Which Carnatic music composer is known by the title ""Royal Composer of Travancore""?","Swathi Thirunal","Oottukkadu Venkata Kavi","Tyagaraja","Muthuswami Dikshitar","Carnatic Compositions","indian_classical","intermediate","Swathi Thirunal (1813-1846) is known as ""Royal Composer of Travancore"". Composed in multiple languages including Sanskrit, Malayalam, Telugu, Kannada.","",""
"gen-indian-carnatic-compositions-014","14","What type of Carnatic composition is a ""Tillana""?","Rhythmic composition using syllables like ta, di, gi, na — equivalent of tarana","Light classical romantic composition, faster than padam","Devotional song form, precursor to the kriti","Most important form with Pallavi, Anupallavi, and Charanam sections","Carnatic Compositions","indian_classical","intermediate","A Tillana: Rhythmic composition using syllables like ta, di, gi, na — equivalent of tarana.","",""
"gen-indian-carnatic-compositions-015","15","What type of Carnatic composition is a ""Swarajathi""?","Composition with swara passages, associated with Syama Shastri","Devotional song form, precursor to the kriti","Simplest song form, used in early music education, no repeat structure","Devotional love song, often about divine love (bhakti or sringara)","Carnatic Compositions","indian_classical","intermediate","A Swarajathi: Composition with swara passages, associated with Syama Shastri.","",""
"gen-indian-carnatic-compositions-016","16","What type of Carnatic composition is a ""Geetham""?","Simplest song form, used in early music education, no repeat structure","Most important form with Pallavi, Anupallavi, and Charanam sections","Devotional song form, precursor to the kriti","Devotional love song, often about divine love (bhakti or sringara)","Carnatic Compositions","indian_classical","intermediate","A Geetham: Simplest song form, used in early music education, no repeat structure.","",""
"gen-indian-carnatic-compositions-017","17","What type of Carnatic composition is a ""Keertanam""?","Devotional song form, precursor to the kriti","Composition with swara passages, associated with Syama Shastri","Simplest song form, used in early music education, no repeat structure","Most important form with Pallavi, Anupallavi, and Charanam sections","Carnatic Compositions","indian_classical","intermediate","A Keertanam: Devotional song form, precursor to the kriti.","",""
"gen-indian-carnatic-compositions-018","18","Which Carnatic composer is most closely associated with the Swarajathi form?","Syama Shastri","Tyagaraja","Muthuswami Dikshitar","Purandara Dasa","Carnatic Compositions","indian_classical","advanced","Syama Shastri's Swarajathis (especially in Bhairavi) are considered masterpieces of the form.","",""
"gen-indian-carnatic-compositions-019","19","What are the three sections of a Carnatic Kriti?","Pallavi, Anupallavi, and Charanam","Sthayi, Antara, and Sanchari","Alap, Jod, and Jhala","Varnam, Kriti, and Tillana","Carnatic Compositions","indian_classical","advanced","A Kriti has three main sections: Pallavi (opening theme), Anupallavi (second section), and Charanam (final section with resolution).","",""
"gen-indian-carnatic-compositions-020","20","What is 'Ragam Tanam Pallavi' (RTP) in a Carnatic concert?","The main elaborate piece featuring raga exposition, rhythmic patterns, and a composed pallavi line with extensive improvisation","A short devotional song sung at the beginning of a concert","A group of three kritis sung in sequence","The concluding mangalam of a Carnatic concert","Carnatic Compositions","indian_classical","advanced","RTP is the centerpiece of a Carnatic concert: Ragam (raga exposition), Tanam (rhythmic elaboration), and Pallavi (a composed line subjected to complex improvisations).","",""
"gen-indian-carnatic-compositions-021","21","What is a 'Varnam' used for in a Carnatic concert?","As a warm-up piece at the beginning of a concert, combining sahitya and swara passages","As the grand finale","As background music during intermission","As a meditation piece","Carnatic Compositions","indian_classical","beginner","As a warm-up piece at the beginning of a concert, combining sahitya and swara passages","",""
"gen-indian-carnatic-compositions-022","22","What is a 'Mangalam' in a Carnatic concert?","The closing benedictory piece that concludes a concert","The opening invocation","The main piece of the concert","A devotional interlude","Carnatic Compositions","indian_classical","beginner","The closing benedictory piece that concludes a concert","",""
"gen-indian-carnatic-compositions-023","23","Which deity is most closely associated with Tyagaraja's compositions?","Lord Rama","Lord Shiva","Goddess Kamakshi","Lord Krishna","Carnatic Compositions","indian_classical","intermediate","Lord Rama","",""
"gen-indian-carnatic-compositions-024","24","Which goddess is central to Syama Shastri's devotional compositions?","Goddess Kamakshi of Kanchipuram","Goddess Saraswati","Goddess Lakshmi","Goddess Durga","Carnatic Compositions","indian_classical","intermediate","Goddess Kamakshi of Kanchipuram","",""
"gen-indian-carnatic-compositions-025","25","What is 'Niraval' in Carnatic music performance?","Improvised melodic variations on a single line of lyrics within the tala framework","A fixed rhythmic drum pattern","A type of dance movement","The concluding section of a kriti","Carnatic Compositions","indian_classical","advanced","Improvised melodic variations on a single line of lyrics within the tala framework","",""
"gen-indian-hindustani-theory-001","1","How many thaats (parent scales) are there in the Hindustani classical system?","10","7","12","72","Hindustani Theory","indian_classical","beginner","The Hindustani system uses 10 thaats, as codified by Vishnu Narayan Bhatkhande in the early 20th century.","",""
"gen-indian-hindustani-theory-002","2","Which Hindustani thaat is described as having these characteristics: ""All shuddha (natural) swaras""?","Bilawal","Marwa","Khamaj","Poorvi","Hindustani Theory","indian_classical","beginner","Bilawal thaat: All shuddha (natural) swaras. Swaras: Sa Re Ga Ma Pa Dha Ni.","",""
"gen-indian-hindustani-theory-003","3","Which Hindustani thaat is described as having these characteristics: ""Komal Ni""?","Khamaj","Bhairavi","Asavari","Marwa","Hindustani Theory","indian_classical","beginner","Khamaj thaat: Komal Ni. Swaras: Sa Re Ga Ma Pa Dha ni.","",""
"gen-indian-hindustani-theory-004","4","Which Hindustani thaat is described as having these characteristics: ""Komal Ga, Komal Ni""?","Kafi","Kalyan","Todi","Bilawal","Hindustani Theory","indian_classical","beginner","Kafi thaat: Komal Ga, Komal Ni. Swaras: Sa Re ga Ma Pa Dha ni.","",""
"gen-indian-hindustani-theory-005","5","Which Hindustani thaat is described as having these characteristics: ""Komal Ga, Komal Dha, Komal Ni""?","Asavari","Khamaj","Poorvi","Marwa","Hindustani Theory","indian_classical","beginner","Asavari thaat: Komal Ga, Komal Dha, Komal Ni. Swaras: Sa Re ga Ma Pa dha ni.","",""
"gen-indian-hindustani-theory-006","6","Which Hindustani thaat is described as having these characteristics: ""Komal Re, Komal Ga, Komal Dha, Komal Ni""?","Bhairavi","Kalyan","Bhairav","Todi","Hindustani Theory","indian_classical","beginner","Bhairavi thaat: Komal Re, Komal Ga, Komal Dha, Komal Ni. Swaras: Sa re ga Ma Pa dha ni.","",""
"gen-indian-hindustani-theory-007","7","Which Hindustani thaat is described as having these characteristics: ""Komal Re, Komal Dha""?","Bhairav","Bilawal","Khamaj","Marwa","Hindustani Theory","indian_classical","beginner","Bhairav thaat: Komal Re, Komal Dha. Swaras: Sa re Ga Ma Pa dha Ni.","",""
"gen-indian-hindustani-theory-008","8","Which Hindustani thaat is described as having these characteristics: ""Tivra Ma (Ma')""?","Kalyan","Asavari","Kafi","Marwa","Hindustani Theory","indian_classical","beginner","Kalyan thaat: Tivra Ma (Ma'). Swaras: Sa Re Ga Ma' Pa Dha Ni.","",""
"gen-indian-hindustani-theory-009","9","Which Hindustani thaat is described as having these characteristics: ""Komal Re, Tivra Ma""?","Marwa","Kafi","Khamaj","Todi","Hindustani Theory","indian_classical","beginner","Marwa thaat: Komal Re, Tivra Ma. Swaras: Sa re Ga Ma' Pa Dha Ni.","",""
"gen-indian-hindustani-theory-010","10","Which Hindustani thaat is described as having these characteristics: ""Komal Re, Tivra Ma, Komal Dha""?","Poorvi","Todi","Khamaj","Bilawal","Hindustani Theory","indian_classical","beginner","Poorvi thaat: Komal Re, Tivra Ma, Komal Dha. Swaras: Sa re Ga Ma' Pa dha Ni.","",""
"gen-indian-hindustani-theory-011","11","Which Hindustani thaat is described as having these characteristics: ""Komal Re, Komal Ga, Tivra Ma, Komal Dha""?","Todi","Kafi","Asavari","Bilawal","Hindustani Theory","indian_classical","beginner","Todi thaat: Komal Re, Komal Ga, Tivra Ma, Komal Dha. Swaras: Sa re ga Ma' Pa dha Ni.","",""
"gen-indian-hindustani-theory-012","12","In Hindustani music, what does ""Aaroh"" mean?","The ascending scale pattern of a raga","A smooth glide from one note to another","A quick, delicate cluster of notes used as ornamentation","A grace note that touches a note briefly before landing on the main note","Hindustani Theory","indian_classical","beginner","Aaroh: The ascending scale pattern of a raga.","",""
"gen-indian-hindustani-theory-013","13","In Hindustani music, what does ""Avroh"" mean?","The descending scale pattern of a raga","A fixed composition with lyrics set to a specific raga and tala","An extended ornamental passage with multiple notes","The most important (king) note of a raga","Hindustani Theory","indian_classical","beginner","Avroh: The descending scale pattern of a raga.","",""
"gen-indian-hindustani-theory-014","14","In Hindustani music, what does ""Alap"" mean?","Slow, unmetered introduction that establishes the raga mood","Heavy oscillation between notes, a forceful ornament","The most important (king) note of a raga","A slow, gentle swing around a note (especially komal notes)","Hindustani Theory","indian_classical","beginner","Alap: Slow, unmetered introduction that establishes the raga mood.","",""
"gen-indian-hindustani-theory-015","15","In Hindustani music, what does ""Bandish"" mean?","A fixed composition with lyrics set to a specific raga and tala","A quick, delicate cluster of notes used as ornamentation","Fixed composition set to a specific tala (instrumental)","Second section of alap introducing rhythmic pulse without tala","Hindustani Theory","indian_classical","beginner","Bandish: A fixed composition with lyrics set to a specific raga and tala.","",""
"gen-indian-hindustani-theory-016","16","In Hindustani music, what does ""Tan"" mean?","Fast melodic runs or passages used in improvisation","The most important (king) note of a raga","A rapid shake or cluster ornament","The descending scale pattern of a raga","Hindustani Theory","indian_classical","beginner","Tan: Fast melodic runs or passages used in improvisation.","",""
"gen-indian-hindustani-theory-017","17","Which vocal gharana is known for: ""Open-throated singing, nom-tom alap, equal emphasis on all elements""?","Gwalior","Patiala","Rampur-Sahaswan","Jaipur-Atrauli","Hindustani Theory","indian_classical","intermediate","The Gwalior Gharana (Oldest, ~15th century) is characterized by: Open-throated singing, nom-tom alap, equal emphasis on all elements. Notable artists: Vishnu Digambar Paluskar, D.V. Paluskar.","",""
"gen-indian-hindustani-theory-018","18","Which vocal gharana is known for: ""Emphasis on rhythm and layakari, nom-tom alap, dhrupad influence""?","Agra","Patiala","Gwalior","Jaipur-Atrauli","Hindustani Theory","indian_classical","intermediate","The Agra Gharana (~16th century) is characterized by: Emphasis on rhythm and layakari, nom-tom alap, dhrupad influence. Notable artists: Faiyaz Khan, Latafat Hussain Khan.","",""
"gen-indian-hindustani-theory-019","19","Which vocal gharana is known for: ""Rare ragas, complex patterns, restrained emotional expression""?","Jaipur-Atrauli","Patiala","Gwalior","Rampur-Sahaswan","Hindustani Theory","indian_classical","intermediate","The Jaipur-Atrauli Gharana (~19th century) is characterized by: Rare ragas, complex patterns, restrained emotional expression. Notable artists: Alladiya Khan, Kishori Amonkar, Mallikarjun Mansur.","",""
